2023-05-22 15:05:444 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 15:05:246 INFO  LoginPage :50 - Send text [[ChromeDriver: chrome on WINDOWS (0b0b0baf356a8804a60b137aca038e5e)] -> xpath: //input[@placeholder='Username']]
2023-05-22 15:05:497 INFO  LoginPage :56 - Send text [[ChromeDriver: chrome on WINDOWS (0b0b0baf356a8804a60b137aca038e5e)] -> xpath: //input[@placeholder='Password']]
2023-05-22 15:05:214 INFO  LoginPage :45 - Click on [[ChromeDriver: chrome on WINDOWS (0b0b0baf356a8804a60b137aca038e5e)] -> xpath: //button[normalize-space()='Login']]
2023-05-22 15:05:913 INFO  HomePage :39 - Click on [[ChromeDriver: chrome on WINDOWS (0b0b0baf356a8804a60b137aca038e5e)] -> xpath: (//span[@class='oxd-text oxd-text--span oxd-main-menu-item--name'])[1]]
2023-05-22 15:05:334 INFO  ViewSystemUsersPage :131 - Get text [[ChromeDriver: chrome on WINDOWS (0b0b0baf356a8804a60b137aca038e5e)] -> xpath: //h5[normalize-space()='System Users']]
2023-05-22 15:05:152 INFO  AddUserPage :71 - Click add user : [[ChromeDriver: chrome on WINDOWS (0b0b0baf356a8804a60b137aca038e5e)] -> xpath: //button[normalize-space()='Add']]
2023-05-22 15:05:338 INFO  ViewSystemUsersPage :131 - Get text Proxy element for: DefaultElementLocator 'By.xpath: //h5[normalize-space()='System Users']'
2023-05-22 15:05:423 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 15:05:155 INFO  LoginPage :50 - Send text [[ChromeDriver: chrome on WINDOWS (9cab60b3362fc257744aefc251e2ac63)] -> xpath: //input[@placeholder='Username']]
2023-05-22 15:05:385 INFO  LoginPage :56 - Send text [[ChromeDriver: chrome on WINDOWS (9cab60b3362fc257744aefc251e2ac63)] -> xpath: //input[@placeholder='Password']]
2023-05-22 15:05:743 INFO  LoginPage :45 - Click on [[ChromeDriver: chrome on WINDOWS (9cab60b3362fc257744aefc251e2ac63)] -> xpath: //button[normalize-space()='Login']]
2023-05-22 15:05:175 INFO  HomePage :39 - Click on [[ChromeDriver: chrome on WINDOWS (9cab60b3362fc257744aefc251e2ac63)] -> xpath: (//span[@class='oxd-text oxd-text--span oxd-main-menu-item--name'])[1]]
2023-05-22 15:05:615 INFO  ViewSystemUsersPage :131 - Get text [[ChromeDriver: chrome on WINDOWS (9cab60b3362fc257744aefc251e2ac63)] -> xpath: //h5[normalize-space()='System Users']]
2023-05-22 15:05:162 INFO  AddUserPage :71 - Click add user : [[ChromeDriver: chrome on WINDOWS (9cab60b3362fc257744aefc251e2ac63)] -> xpath: //button[normalize-space()='Add']]
2023-05-22 15:05:336 INFO  ViewSystemUsersPage :131 - Get text Proxy element for: DefaultElementLocator 'By.xpath: //h5[normalize-space()='System Users']'
2023-05-22 15:05:636 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 15:05:654 INFO  LoginPage :50 - Send text [[ChromeDriver: chrome on WINDOWS (cdcd0de5aa3700a226cdac5a3adadaf2)] -> xpath: //input[@placeholder='Username']]
2023-05-22 15:05:877 INFO  LoginPage :56 - Send text [[ChromeDriver: chrome on WINDOWS (cdcd0de5aa3700a226cdac5a3adadaf2)] -> xpath: //input[@placeholder='Password']]
2023-05-22 15:05:176 INFO  LoginPage :45 - Click on [[ChromeDriver: chrome on WINDOWS (cdcd0de5aa3700a226cdac5a3adadaf2)] -> xpath: //button[normalize-space()='Login']]
2023-05-22 15:05:937 INFO  HomePage :39 - Click on [[ChromeDriver: chrome on WINDOWS (cdcd0de5aa3700a226cdac5a3adadaf2)] -> xpath: (//span[@class='oxd-text oxd-text--span oxd-main-menu-item--name'])[1]]
2023-05-22 15:05:592 INFO  ViewSystemUsersPage :125 - Get text Proxy element for: DefaultElementLocator 'By.xpath: //h6[normalize-space()='Add User']'
2023-05-22 15:05:459 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 15:05:188 INFO  LoginPage :50 - Send text [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: //input[@placeholder='Username']]
2023-05-22 15:05:522 INFO  LoginPage :56 - Send text [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: //input[@placeholder='Password']]
2023-05-22 15:05:675 INFO  LoginPage :45 - Click on [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: //button[normalize-space()='Login']]
2023-05-22 15:05:749 INFO  HomePage :39 - Click on [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: (//span[@class='oxd-text oxd-text--span oxd-main-menu-item--name'])[1]]
2023-05-22 15:05:151 INFO  ViewSystemUsersPage :131 - Get text [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: //h5[normalize-space()='System Users']]
2023-05-22 15:05:719 INFO  AddUserPage :71 - Click add user : [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: //button[normalize-space()='Add']]
2023-05-22 15:05:308 INFO  ViewSystemUsersPage :125 - Get text [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: //h6[normalize-space()='Add User']]
2023-05-22 15:05:572 INFO  AddUserPage :118 - Set role : [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: //span[contains(text(),'Admin')]]
2023-05-22 15:05:758 INFO  AddUserPage :65 - Enter user name : [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: (//input[@class='oxd-input oxd-input--active'])[2]]
2023-05-22 15:05:916 INFO  AddUserPage :65 - Enter user name : [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: (//input[@class='oxd-input oxd-input--active'])[2]]
2023-05-22 15:05:86 INFO  AddUserPage :102 - Select status : [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: (//i[@class='oxd-icon bi-caret-down-fill oxd-select-text--arrow'])[2]]
2023-05-22 15:05:218 INFO  AddUserPage :95 - Send text : [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: (//input[@type='password'])[1]]
2023-05-22 15:05:443 INFO  AddUserPage :89 - Send text : [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: (//input[@type='password'])[2]]
2023-05-22 15:05:552 INFO  AddUserPage :77 - Click on save : [[ChromeDriver: chrome on WINDOWS (3bd9e7816e67d02e9c9dcb26b82fda6f)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-05-22 15:05:869 INFO  AddUserPage :122 - Get text : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='oxd-toast-content oxd-toast-content--success']/p[2]'
2023-05-22 15:05:120 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 15:05:231 INFO  LoginPage :50 - Send text [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: //input[@placeholder='Username']]
2023-05-22 15:05:439 INFO  LoginPage :56 - Send text [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: //input[@placeholder='Password']]
2023-05-22 15:05:548 INFO  LoginPage :45 - Click on [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: //button[normalize-space()='Login']]
2023-05-22 15:05:195 INFO  HomePage :39 - Click on [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: (//span[@class='oxd-text oxd-text--span oxd-main-menu-item--name'])[1]]
2023-05-22 15:05:603 INFO  ViewSystemUsersPage :131 - Get text [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: //h5[normalize-space()='System Users']]
2023-05-22 15:05:250 INFO  AddUserPage :71 - Click add user : [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: //button[normalize-space()='Add']]
2023-05-22 15:05:842 INFO  ViewSystemUsersPage :125 - Get text [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: //h6[normalize-space()='Add User']]
2023-05-22 15:05:140 INFO  AddUserPage :118 - Set role : [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: //span[contains(text(),'Admin')]]
2023-05-22 15:05:373 INFO  AddUserPage :65 - Enter user name : [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: (//input[@class='oxd-input oxd-input--active'])[2]]
2023-05-22 15:05:531 INFO  AddUserPage :65 - Enter user name : [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: (//input[@class='oxd-input oxd-input--active'])[2]]
2023-05-22 15:05:714 INFO  AddUserPage :102 - Select status : [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: (//i[@class='oxd-icon bi-caret-down-fill oxd-select-text--arrow'])[2]]
2023-05-22 15:05:846 INFO  AddUserPage :95 - Send text : [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: (//input[@type='password'])[1]]
2023-05-22 15:05:08 INFO  AddUserPage :89 - Send text : [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: (//input[@type='password'])[2]]
2023-05-22 15:05:105 INFO  AddUserPage :77 - Click on save : [[ChromeDriver: chrome on WINDOWS (141095cfe8c7dac4011887eb26acff2d)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-05-22 15:05:183 INFO  AddUserPage :122 - Get text : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='oxd-toast-content oxd-toast-content--success']/p[2]'
2023-05-22 16:05:754 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 16:05:186 INFO  LoginPage :50 - Send text [[ChromeDriver: chrome on WINDOWS (206c4c6186f0de04bbb7ec3b9878ddbe)] -> xpath: //input[@placeholder='Username']]
2023-05-22 16:05:355 INFO  LoginPage :56 - Send text [[ChromeDriver: chrome on WINDOWS (206c4c6186f0de04bbb7ec3b9878ddbe)] -> xpath: //input[@placeholder='Password']]
2023-05-22 16:05:541 INFO  LoginPage :45 - Click on [[ChromeDriver: chrome on WINDOWS (206c4c6186f0de04bbb7ec3b9878ddbe)] -> xpath: //button[normalize-space()='Login']]
2023-05-22 16:05:26 INFO  HomePage :39 - Click on [[ChromeDriver: chrome on WINDOWS (206c4c6186f0de04bbb7ec3b9878ddbe)] -> xpath: (//span[@class='oxd-text oxd-text--span oxd-main-menu-item--name'])[1]]
2023-05-22 16:05:600 INFO  ViewSystemUsersPage :131 - Get text [[ChromeDriver: chrome on WINDOWS (206c4c6186f0de04bbb7ec3b9878ddbe)] -> xpath: //h5[normalize-space()='System Users']]
2023-05-22 16:05:923 INFO  AddUserPage :71 - Click add user : [[ChromeDriver: chrome on WINDOWS (206c4c6186f0de04bbb7ec3b9878ddbe)] -> xpath: //button[normalize-space()='Add']]
2023-05-22 16:05:767 INFO  ViewSystemUsersPage :125 - Get text [[ChromeDriver: chrome on WINDOWS (206c4c6186f0de04bbb7ec3b9878ddbe)] -> xpath: //h6[normalize-space()='Add User']]
2023-05-22 16:05:233 INFO  AddUserPage :118 - Set role : [[ChromeDriver: chrome on WINDOWS (206c4c6186f0de04bbb7ec3b9878ddbe)] -> xpath: //span[contains(text(),'Admin')]]
2023-05-22 16:05:634 INFO  AddUserPage :111 - Send text : [[ChromeDriver: chrome on WINDOWS (206c4c6186f0de04bbb7ec3b9878ddbe)] -> xpath: //input[@placeholder='Type for hints...']]
